Premature end of JPEG file
Premature end of JPEG file
Premature end of JPEG file
/gpfs/accounts/robosub_team_root/robosub_team/bdmanley/modelcompression-2019/venv/lib64/python3.6/site-packages/sklearn/externals/joblib/externals/cloudpickle/cloudpickle.py:47: DeprecationWarning: the imp module is deprecated in favour of importlib; see the module's documentation for alternative uses
  import imp
Loading dataloaders..
      Image      Total          P          R        mAP
         16       5000      0.573      0.527      0.506      0.198s
         32       5000      0.609      0.564      0.544      0.156s
         48       5000      0.615      0.585      0.563       0.16s
         64       5000      0.613      0.583      0.561       0.15s
         80       5000      0.615      0.594      0.569       0.16s
         96       5000      0.609      0.592      0.571      0.164s
        112       5000      0.612      0.593      0.573       0.16s
        128       5000       0.61      0.594      0.573      0.151s
        144       5000      0.603      0.588      0.568      0.174s
        160       5000      0.598      0.583      0.564      0.146s
        176       5000      0.592      0.581      0.563      0.168s
        192       5000      0.599       0.59      0.572       0.15s
        208       5000      0.591       0.58      0.562      0.149s
        224       5000      0.591       0.58      0.563      0.201s
        240       5000      0.589      0.579      0.562      0.167s
        256       5000      0.595      0.583      0.566      0.158s
        272       5000        0.6      0.588      0.571      0.148s
        288       5000      0.605      0.596      0.579      0.155s
        304       5000       0.61        0.6      0.584      0.162s
        320       5000      0.599      0.589      0.572      0.164s
        336       5000      0.598      0.586       0.57      0.164s
        352       5000      0.598      0.585      0.569      0.185s
        368       5000      0.599      0.584      0.569      0.163s
        384       5000      0.603      0.589      0.574      0.156s
        400       5000      0.603       0.59      0.575      0.158s
        416       5000      0.601      0.588      0.573      0.188s
        432       5000      0.599      0.586      0.571      0.157s
        448       5000      0.599      0.585       0.57      0.186s
        464       5000      0.596      0.583      0.567      0.167s
        480       5000      0.592      0.579      0.563      0.161s
        496       5000      0.589      0.578      0.561      0.171s
        512       5000      0.587      0.576      0.559       0.17s
        528       5000      0.584      0.573      0.556      0.161s
        544       5000      0.587      0.575      0.559       0.15s
        560       5000      0.588      0.577      0.561      0.177s
        576       5000      0.591       0.58      0.563      0.176s
        592       5000      0.593      0.582      0.566       0.18s
        608       5000      0.595      0.584      0.567      0.195s
        624       5000      0.596      0.584      0.567      0.183s
        640       5000      0.592      0.581      0.564      0.173s
        656       5000       0.59      0.578      0.561      0.177s
        672       5000       0.59      0.579      0.562      0.179s
        688       5000      0.591      0.579      0.562      0.144s
        704       5000       0.59      0.579      0.562      0.155s
        720       5000      0.591       0.58      0.564      0.182s
        736       5000      0.591      0.578      0.562      0.174s
        752       5000      0.592      0.581      0.564       0.16s
        768       5000      0.594      0.583      0.567      0.174s
        784       5000      0.593      0.582      0.565      0.167s
        800       5000      0.593      0.582      0.565      0.174s
        816       5000      0.594      0.583      0.566      0.189s
        832       5000      0.592       0.58      0.564      0.164s
        848       5000      0.593      0.581      0.564      0.138s
        864       5000      0.591      0.579      0.563      0.173s
        880       5000      0.591      0.579      0.562      0.191s
        896       5000      0.589      0.577      0.561      0.183s
        912       5000      0.588      0.576       0.56      0.187s
        928       5000      0.588      0.576       0.56      0.195s
        944       5000      0.587      0.576       0.56      0.181s
        960       5000      0.587      0.576       0.56      0.165s
        976       5000      0.586      0.575      0.559      0.165s
        992       5000      0.587      0.575      0.558      0.183s
       1008       5000      0.587      0.575      0.558      0.175s
       1024       5000      0.587      0.575      0.559      0.164s
       1040       5000      0.587      0.576      0.559      0.183s
       1056       5000      0.587      0.576       0.56      0.149s
       1072       5000      0.587      0.576       0.56       0.15s
       1088       5000      0.587      0.577       0.56      0.182s
       1104       5000      0.588      0.578      0.561      0.179s
       1120       5000      0.589      0.579      0.562      0.191s
       1136       5000       0.59       0.58      0.563      0.172s
       1152       5000      0.589      0.579      0.562      0.181s
       1168       5000      0.587      0.578      0.561      0.175s
       1184       5000      0.587      0.577       0.56       0.18s
       1200       5000      0.587      0.577       0.56      0.181s
       1216       5000      0.587      0.577       0.56       0.17s
       1232       5000      0.587      0.577       0.56      0.182s
       1248       5000      0.587      0.576      0.559      0.178s
       1264       5000      0.587      0.576      0.559      0.175s
       1280       5000      0.585      0.574      0.557      0.199s
       1296       5000      0.586      0.576      0.558      0.174s
       1312       5000      0.588      0.577       0.56      0.176s
       1328       5000      0.587      0.577       0.56      0.191s
       1344       5000      0.588      0.578       0.56      0.194s
       1360       5000      0.589      0.579      0.562      0.194s
       1376       5000      0.589       0.58      0.562      0.169s
       1392       5000      0.589       0.58      0.562      0.192s
       1408       5000      0.589      0.581      0.563       0.15s
       1424       5000      0.589       0.58      0.562      0.173s
       1440       5000      0.589      0.581      0.564      0.145s
       1456       5000      0.589      0.581      0.564      0.191s
       1472       5000       0.59      0.582      0.564      0.172s
       1488       5000      0.589      0.581      0.563      0.166s
       1504       5000       0.59      0.581      0.563      0.169s
       1520       5000      0.589      0.581      0.563       0.19s
       1536       5000      0.589      0.581      0.564      0.177s
       1552       5000      0.587      0.579      0.562      0.163s
       1568       5000      0.588      0.579      0.562      0.143s
       1584       5000       0.59       0.58      0.563      0.155s
       1600       5000       0.59      0.581      0.563      0.164s
       1616       5000       0.59      0.581      0.563      0.167s
       1632       5000      0.588       0.58      0.562      0.164s
       1648       5000       0.59      0.581      0.564      0.145s
       1664       5000       0.59      0.582      0.564      0.176s
       1680       5000       0.59      0.582      0.564      0.158s
       1696       5000       0.59      0.582      0.564      0.176s
       1712       5000       0.59      0.581      0.564      0.216s
       1728       5000       0.59      0.581      0.564      0.145s
       1744       5000       0.59      0.581      0.564      0.168s
       1760       5000       0.59      0.581      0.564      0.173s
       1776       5000      0.591      0.582      0.564      0.168s
       1792       5000       0.59      0.581      0.564      0.174s
       1808       5000      0.589      0.581      0.563      0.173s
       1824       5000      0.589       0.58      0.563      0.153s
       1840       5000      0.588      0.579      0.562      0.182s
       1856       5000      0.588      0.579      0.562       0.18s
       1872       5000      0.589       0.58      0.563      0.176s
       1888       5000      0.588      0.579      0.562       0.17s
       1904       5000      0.588       0.58      0.563      0.152s
       1920       5000      0.589       0.58      0.562      0.185s
       1936       5000      0.588      0.579      0.562      0.171s
       1952       5000      0.587      0.578      0.561      0.184s
       1968       5000      0.587      0.578      0.561      0.169s
       1984       5000      0.586      0.577       0.56       0.18s
       2000       5000      0.586      0.577       0.56      0.161s
       2016       5000      0.586      0.577       0.56       0.16s
       2032       5000      0.585      0.576      0.559      0.217s
       2048       5000      0.585      0.576      0.558      0.158s
       2064       5000      0.585      0.576      0.559      0.158s
       2080       5000      0.585      0.576      0.559      0.189s
       2096       5000      0.585      0.576      0.559      0.154s
       2112       5000      0.585      0.576      0.559      0.183s
       2128       5000      0.585      0.576      0.559      0.185s
       2144       5000      0.585      0.576      0.559      0.176s
       2160       5000      0.586      0.577      0.559      0.176s
       2176       5000      0.586      0.577       0.56      0.188s
       2192       5000      0.586      0.577       0.56      0.191s
       2208       5000      0.585      0.576      0.558      0.183s
       2224       5000      0.585      0.576      0.558      0.172s
       2240       5000      0.584      0.575      0.558      0.204s
       2256       5000      0.585      0.576      0.558      0.158s
       2272       5000      0.584      0.575      0.558      0.176s
       2288       5000      0.584      0.575      0.558      0.176s
       2304       5000      0.584      0.575      0.557      0.162s
       2320       5000      0.584      0.575      0.557       0.18s
