Premature end of JPEG file
Premature end of JPEG file
Premature end of JPEG file
Loading dataloaders..
      Image      Total          P          R        mAP
         16       5000      0.573      0.536      0.523      0.636s
         32       5000      0.666       0.62      0.611      0.158s
         48       5000      0.645      0.602      0.592      0.156s
         64       5000      0.632      0.598      0.585       0.15s
         80       5000      0.665      0.636      0.624      0.163s
         96       5000      0.663      0.641       0.63      0.165s
        112       5000      0.658      0.638      0.628      0.157s
        128       5000      0.653      0.635      0.625      0.149s
        144       5000      0.658       0.64      0.632      0.184s
        160       5000      0.656       0.64      0.631      0.142s
        176       5000      0.643      0.631      0.621      0.165s
        192       5000      0.648      0.636      0.626       0.15s
        208       5000      0.644      0.627      0.619      0.144s
        224       5000      0.644      0.627      0.618      0.185s
        240       5000      0.642      0.621      0.613      0.163s
        256       5000      0.643      0.621      0.613      0.155s
        272       5000      0.649      0.627      0.619      0.147s
        288       5000      0.655      0.634      0.626      0.164s
        304       5000      0.654      0.635      0.627      0.167s
        320       5000      0.648      0.629      0.621      0.161s
        336       5000      0.648      0.626      0.618      0.164s
        352       5000      0.645      0.621      0.614      0.177s
        368       5000      0.643      0.618      0.611      0.159s
        384       5000      0.646      0.624      0.617       0.15s
        400       5000      0.648      0.627       0.62      0.156s
        416       5000      0.645      0.625      0.618      0.177s
        432       5000      0.644      0.622      0.615      0.152s
        448       5000      0.645      0.622      0.614      0.175s
        464       5000      0.643      0.621      0.613      0.164s
        480       5000      0.638      0.617      0.609      0.164s
        496       5000      0.636      0.615      0.608      0.169s
        512       5000      0.634      0.613      0.605      0.168s
        528       5000      0.631       0.61      0.601      0.159s
        544       5000      0.633      0.612      0.604      0.152s
        560       5000      0.635      0.615      0.607      0.168s
        576       5000      0.639      0.617      0.609      0.167s
        592       5000       0.64      0.618       0.61      0.171s
        608       5000       0.64      0.618      0.609      0.189s
        624       5000      0.639      0.617      0.608       0.17s
        640       5000      0.637      0.613      0.605      0.162s
        656       5000      0.635      0.611      0.603      0.171s
        672       5000      0.634       0.61      0.602      0.176s
        688       5000      0.636      0.611      0.603      0.146s
        704       5000      0.637      0.612      0.604       0.16s
        720       5000      0.636      0.612      0.604      0.178s
        736       5000      0.636       0.61      0.602      0.172s
        752       5000      0.637      0.613      0.605       0.16s
        768       5000      0.638      0.615      0.607      0.177s
        784       5000      0.638      0.615      0.607      0.166s
        800       5000      0.639      0.615      0.606      0.172s
        816       5000       0.64      0.616      0.607      0.185s
        832       5000      0.638      0.615      0.605      0.161s
        848       5000      0.638      0.614      0.605       0.14s
        864       5000      0.637      0.613      0.604      0.169s
        880       5000      0.637      0.613      0.604      0.188s
        896       5000      0.635      0.612      0.602      0.177s
        912       5000      0.635      0.611      0.601      0.182s
        928       5000      0.634       0.61      0.601      0.185s
        944       5000      0.634       0.61      0.601       0.18s
        960       5000      0.635      0.611      0.602      0.161s
        976       5000      0.636      0.612      0.602      0.166s
        992       5000      0.636      0.611      0.602       0.18s
       1008       5000      0.634      0.609        0.6      0.169s
       1024       5000      0.634       0.61        0.6       0.16s
       1040       5000      0.636      0.611      0.601      0.182s
       1056       5000      0.635       0.61      0.601      0.148s
       1072       5000      0.635      0.611      0.601      0.148s
       1088       5000      0.635       0.61      0.601      0.176s
       1104       5000      0.636      0.612      0.602      0.172s
       1120       5000      0.637      0.612      0.603      0.186s
       1136       5000      0.638      0.612      0.603      0.173s
       1152       5000      0.637      0.611      0.601       0.18s
       1168       5000      0.635      0.609        0.6      0.163s
